April,May,September,Island,Native,Introduced,Total,% Native,% Introduced,Acres,Hectares,Log Hectares,Distance (m),Log Distance (m),Closest Island,
X,X,,Aleck Rock,62,22,84,74,26,3.68,1.489878543,0.173150865,100,2,Lopez,
X,,X,Barren Island,31,18,49,63,37,3,1.214574899,0.084424301,530,2.72427587,,
X,,X,Battleship Island,60,29,89,67,33,2.47,1,0,400,2.602059991,,
X,X,,Blind Island,53,15,68,78,22,1.82,0.736842105,-0.132625565,70,1.84509804,Lopez,
X,X,X,Boulder Island,69,24,93,74,26,6.31,2.55465587,0.407332406,120,2.079181246,Lopez,
,X,X,Broken Point Island,34,20,54,63,37,0.4571,0.185,-0.732828272,135,2.130333768,Shaw,*
,X,,Buck Island,10,7,17,59,41,1.08,0.437246964,-0.359273198,280,2.447158031,Lopez,
X,,X,Castle Island,93,30,123,76,24,8.4,3.400809717,0.531582333,130,2.113943352,Lopez,
X,,,Cemetery Island,25,8,33,76,24,0.96,0.388663968,-0.41042572,160,2.204119983,,
X,,,Charles Island,82,45,127,65,35,35.4,14.33198381,1.156306309,180,2.255272505,Lopez,
X,X,X,Cliff Island,84,33,117,72,28,14.92,6.04048583,0.78107187,240,2.380211242,,
X,,X,Colville Island,26,24,50,52,48,11.25,4.55465587,0.658455569,770,2.886490725,Lopez,
X,,X,Coon Island,61,37,98,62,38,3.01,1.218623482,0.085869542,50,1.698970004,,
,X,,Crab Island,8,7,15,53,47,0.3,0.12145749,-0.915575699,95,1.977723605,Lopez,
,X,X,Deadman Island,52,22,74,70,30,3.32,1.344129555,0.12844113,150,2.176091259,Lopez,
X,X,,Dot Island,67,27,94,71,29,3.5793,1.4485,0.1609185,100,2,Saddlebag,*
X,X,,Dotlet Island,18,10,28,64,36,0.1557,0.063,-1.200659451,13,1.113943352,Dot,*
X,X,X,East Sucia 1 Island,36,19,55,65,35,0.08,0.03,-1.522878745,45,1.653212514,Sucia,*
X,X,X,East Sucia 2 Island,29,16,45,64,36,0.03,0.01,-2,59,1.770852012,Sucia,*
X,X,X,East Sucia 3 Island,23,15,38,61,39,0.014,0.006,-2.22184875,78,1.892094603,Sucia,*
X,X,X,East Sucia 4 Island,42,11,53,79,21,0.21,0.083,-1.080921908,104,2.017033339,Sucia,*
X,,X,East Sucia 5 Island,6,0,6,100,0,0.03,0.01,-2,165,2.217483944,Sucia,*
X,,X,East Sucia 6 Island,32,13,45,71,29,0.55,0.22,-0.657577319,180,2.255272505,Sucia,*
X,,X,East Sucia 7 Island,51,20,71,72,28,1.58,0.64,-0.193820026,216,2.334453751,Sucia,*
X,,X,East Sucia 8 Island,7,3,10,70,30,0.0585,0.0237,-1.625251654,14,1.146128036,E Sucia 7,*
,X,,Ewing Island,70,19,89,79,21,18.9378,7.47,0.873320602,100,2,Sucia,
,X,,Fawn Island,43,32,75,57,43,3.05,1.234817814,0.091602886,130,2.113943352,,
,X,,Flat Top Island,93,46,139,67,33,49,19.83805668,1.297499127,1600,3.204119983,,
X,X,X,Flint Beach Island,63,20,83,76,24,2.8,1.133603239,0.054461078,140,2.146128036,Lopez,
,X,X,Flower Island,58,23,81,72,28,4.6,1.811023622,0.257924115,520,2.716003344,Lopez,
,X,,Fortress Island,41,16,57,72,28,2.3,0.931174089,-0.030969117,460,2.662757832,Lopez,
X,,,Gossip Island,49,26,75,65,35,2.12,0.858299595,-0.066361092,30,1.477121255,,
X,X,,Hat Island,86,31,117,74,26,113.22,45.8197,1.661052241,1550,3.190331698,Guemes,*
,X,,Huckleberry Island,89,37,126,71,29,12.79,5.1778,0.714145271,333,2.522444234,Guemes,*
,X,X,Iceberg Island,42,23,65,65,35,3.2,1.295546559,0.112453025,300,2.477121255,Lopez,
X,,,Little Cactus,29,11,40,73,28,0.33,0.133603239,-0.874183013,120,2.079181246,,
X,X,X,Little McConnell Island,54,35,89,61,39,1.34,0.542510121,-0.265592155,30,1.477121255,,
X,,X,Little Nob,9,3,12,75,25,0.13,0.052631579,-1.278753601,100,2,,
,X,X,Little Oak,7,8,15,47,53,0.0442,0.0179,-1.747146969,50,1.698970004,Orcas,*
